RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,2.0,9,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3474
Touchdown,1.0,10,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2449
Touchdown,1.0,10,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,245
Touchdown,1.0,10,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1175
Touchdown,1.0,10,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1200
Touchdown,4.0,15,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4457
Touchdown,4.0,4,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2702
Touchdown,3.0,2,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,880
Touchdown,1.0,10,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2350
Touchdown,1.0,10,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1612
Touchdown,1.0,10,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1372
Touchdown,3.0,9,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,221
Touchdown,2.0,10,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4158
Touchdown,1.0,10,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3263
Touchdown,1.0,10,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4061
Touchdown,2.0,3,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1415
Touchdown,1.0,5,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1073
Touchdown,3.0,6,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3130
Touchdown,3.0,7,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2826
Touchdown,2.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3184
Touchdown,2.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1807
Touchdown,2.0,7,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2600
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,660
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3188
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1604
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2638
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1185
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3148
Touchdown,1.0,10,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3552
Touchdown,1.0,10,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1861
Touchdown,3.0,1,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3269
Touchdown,3.0,9,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3448
Touchdown,3.0,6,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2003
Touchdown,3.0,3,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,848
Touchdown,2.0,13,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3549
Touchdown,2.0,10,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3733
Touchdown,2.0,8,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1202
Touchdown,1.0,10,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1433
Touchdown,1.0,10,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2776
Touchdown,2.0,5,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,623
Touchdown,2.0,3,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2791
Touchdown,3.0,9,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2221
Touchdown,3.0,6,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1848
Touchdown,2.0,11,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1315
Touchdown,2.0,12,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3379
Touchdown,2.0,10,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3121
Touchdown,1.0,10,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,967
Touchdown,1.0,10,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,541
Touchdown,1.0,10,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77
Touchdown,1.0,10,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,208
Touchdown,1.0,10,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2814
Touchdown,1.0,10,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2110
Touchdown,2.0,5,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,879
Touchdown,2.0,5,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3346
Touchdown,2.0,4,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1376
Touchdown,2.0,2,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2829
Touchdown,1.0,5,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,483
Touchdown,1.0,5,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,522
